chrom,feat_acc,acc,CV,M,MSQ,SD,per_SD,per_M,per_MSQ,per_CV,per
1,AT1G64060,pCAMTA2-22C-mock_S1_peak_12778,-0.7828438152589963,-0.15922494299648143,0.04088977165689249,0.12464826185976173,0.6998130924302435,0.17834097280939878,0.657224867607138,0.31571803658048153,0.6998130924302435
5,AT5G37510,pCAMTA2-22C-mock_S1_peak_59192,0.6099463340108182,0.20431726609948603,0.05727632953983478,0.12462256743249434,0.6995905834186285,0.8881002180588314,0.7849005384718081,0.6824128877219527,0.6995905834186285
1,AT1G78700,pCAMTA2-22C-mock_S1_peak_16943,0.4641391608252243,0.2684486857556324,0.08758924578456828,0.12459754773125356,0.6992345690000445,0.9454185394508478,0.9010057407324996,0.627453161853055,0.6992345690000445
1,AT1G16090,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_4324,-2.9423869362748083,-0.042345461455048174,0.017317483879405755,0.12459673259586218,0.6991900671977215,0.4380979929687152,0.2698811801877976,0.08114903653597971,0.6991900671977215
Mt,ATMG00070,pCAMTA3-22C-cycloheximide_S6_peak_56337,0.050957699176342235,2.445085067918957,5.993965129987397,0.12459590935158052,0.6991455653953985,0.9984646878198568,0.9984646878198568,0.5311957634284189,0.6991455653953985
5,AT5G33370,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_57532,-0.4779297161052319,-0.26067315771218413,0.08347153073240159,0.1245834482616385,0.6990120599884295,0.04848471363090205,0.8906368207912421,0.4449957723287793,0.6990120599884295
5,AT5G06520,pCAMTA3-22C-mock_S4_peak_60566,1.6836910388362238,0.07399336876011994,0.020995686346630713,0.12458197191471813,0.6989675581861066,0.6790752525477282,0.357193716345512,0.8673178763739932,0.6989675581861066
5,AT5G54320,pCAMTA3-22C-cycloheximide_S6_peak_53138,-1.2813577383066963,-0.09718375424681536,0.024951694556850285,0.12452715554185312,0.6986560455698456,0.3088647590227404,0.439744559654666,0.19645320635485738,0.6986560455698456
5,AT5G24313,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_56524,-1.6090264252695814,-0.07739171571094716,0.0214960319048579,0.12452531567586501,0.6985225401628766,0.35590316407814515,0.3684971741355525,0.15497752658982689,0.6985225401628766
5,AT5G24314,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_56524,-1.6090264252695814,-0.07739171571094716,0.0214960319048579,0.12452531567586501,0.6985225401628766,0.35590316407814515,0.3684971741355525,0.15497752658982689,0.6985225401628766
2,AT2G46720,pCAMTA2-22C-mock_S1_peak_27383,4.791525012560652,0.025987986043228606,0.016181125109236538,0.124522085152207,0.6984780383605536,0.582906857727738,0.2414445285034044,0.951648791776067,0.6984780383605536
2,AT2G47140,pCAMTA2-22C-mock_S1_peak_27508,-13.512744954306331,-0.009215042273094652,0.015590275903890685,0.12452051597947932,0.6984335365582306,0.5100129055226736,0.22644742112055538,0.017422455609452183,0.6984335365582306
2,AT2G40590,pCAMTA2-22C-mock_S1_peak_25471,-1.3583539379330385,-0.09166595962763292,0.023906587865422192,0.12451481723460611,0.6983890347559076,0.32212629611499266,0.4197632504116417,0.1850162431578479,0.6983890347559076
2,AT2G40480,pCAMTA3-22C-mock_S4_peak_28788,0.450463825959533,0.2763795925044346,0.09188568230941448,0.12449900865668428,0.6982110275466157,0.9502692359040541,0.9107516354412354,0.6218904365626808,0.6982110275466157
