feat_acc,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S17_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-11-27C_S15_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-17C_S12_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-27C_S13_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-22-4DAG_S18_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-27-4DAG_S19_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=gELF3myc-17C_S10_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA2-22C-mock_S1_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-cycloheximide_S6_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-mock_S4_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey
AT1G01600,,,2.31888,2.50434,1.85975,,2.78867,2.42042,2.30826,1.97084,2.14828,2.12509,1.92479
AT1G01610,2.47174,2.0193,2.85166,3.7565,2.39943,,2.78867,1.81531,3.03104,2.05775,2.61795,2.7537,2.00398
AT1G01620,2.47174,1.67356,2.37361,3.04098,2.28668,,1.99191,3.22722,2.3206900000000004,2.31848,2.26956,1.77401,1.7171299999999998
AT1G01630,2.47174,1.67356,2.31888,2.50434,2.28668,,2.78867,3.22722,2.3206900000000004,2.31848,2.26956,1.77401,1.7171299999999998
AT1G01640,2.4687900000000003,1.92534,1.96369,2.32545,2.11428,,2.39029,,,2.40248,2.1164400000000003,,
AT1G01650,1.85537,2.00535,2.29714,2.48907,2.99824,,2.78867,2.42042,3.42232,2.58531,2.51213,2.12509,2.12339
AT1G01660,1.70127,2.31413,2.67407,3.42538,2.14437,,2.78867,2.01701,2.33466,1.97084,2.14828,2.11428,2.06324
AT1G01670,1.68664,2.31413,,3.42538,2.85592,,3.11847,1.92802,2.33466,1.7678900000000002,2.18494,1.58627,1.76719
AT1G01680,1.68664,2.08122,2.31888,2.32545,2.85592,,3.18706,3.02552,2.66965,2.01738,2.53523,2.28911,2.47858
AT1G01690,1.68664,2.08122,2.1621200000000003,1.96769,2.85592,,3.11847,1.92802,2.66965,2.01738,2.53523,2.28911,2.47858
AT1G01695,2.1296,2.1332,1.96143,2.32545,2.28668,,3.36891,3.02552,2.66965,2.05775,2.51213,1.85273,1.62471
AT1G01700,1.85537,2.1332,2.14129,2.68322,2.42899,,2.39029,2.01701,2.35468,,1.54186,2.4843,
AT1G01710,1.92689,2.1332,2.14129,3.3705,2.71361,,2.39029,2.01701,2.35468,2.54556,2.37495,2.4843,2.32711
AT1G01720,1.85537,,2.68889,2.8621,2.85592,,3.58544,1.5122799999999998,2.91058,2.14466,3.1185400000000003,2.12509,1.90967
AT1G01725,1.85537,1.67643,3.02925,3.39874,2.85592,,2.78867,2.42042,2.5491900000000003,2.31848,2.3908400000000003,2.3046900000000003,2.12339
AT1G01730,1.85537,,2.8083400000000003,3.08284,2.85592,,2.50112,1.81531,2.91058,2.3582,3.1185400000000003,2.79831,2.09579
AT1G01740,2.47174,1.7654900000000002,1.96369,3.04098,1.48019,,1.99191,2.82382,1.94687,1.88393,2.14828,2.4843,2.19463
AT1G01750,2.47174,1.7654900000000002,3.02925,3.04098,2.85592,,2.78867,2.82382,1.94687,1.88393,2.1164400000000003,2.4843,2.12339
AT1G01760,2.00946,2.22512,2.85166,3.21986,2.85592,,2.78867,3.02552,2.5491900000000003,2.273,1.90571,2.5741,2.05215
AT1G01770,,1.7654900000000002,2.85166,2.32545,2.28668,,2.78867,2.01701,2.5491900000000003,2.273,2.14828,2.4813,2.69332
AT1G01780,2.62583,2.22512,2.67407,3.21986,2.85592,,2.39029,3.02552,2.30826,2.31848,1.90571,2.5741,2.05215
